Superhero Name,Superhero Biography Name,Superhero Place Of Birth,Superhero First Appearance,Superhero Gender,Superhero Eye Color,Superhero Race,Superhero Hair Color,Superhero Height (Ft),Superhero Height (Cm),Superhero Weight (Lb),Superhero Weight (Kg),Superhero Publisher,Superhero Work Occupation,Superhero Work Base,Superhero Skin Color,Superhero Alignment,Superhero Intelligence,Superhero Strength,Superhero Speed,Superhero Durability,Superhero Power,Superhero Combat,Superhero Agility,Superhero Accelerated Healing,Superhero Lantern Power Ring,Superhero Dimensional Awareness,Superhero Cold Resistance,Superhero Durability.1,Superhero Stealth,Superhero Energy Absorption,Superhero Flight,Superhero Danger Sense,Superhero Underwater Breathing,Superhero Marksmanship,Superhero Weapons Master,Superhero Power Augmentation,Superhero Animal Attributes,Superhero Longevity,Superhero Intelligence.1,Superhero Super Strength,Superhero Cryokinesis,Superhero Telepathy,Superhero Energy Armor,Superhero Energy Blasts,Superhero Duplication,Superhero Size Changing,Superhero Density Control,Superhero Stamina,Superhero Astral Travel,Superhero Audio Control,Superhero Dexterity,Superhero Omnitrix,Superhero Super Speed,Superhero Possession,Superhero Animal Oriented Powers,Superhero Weapon-Based Powers,Superhero Electrokinesis,Superhero Darkforce Manipulation,Superhero Death Touch,Superhero Teleportation,Superhero Enhanced Senses,Superhero Telekinesis,Superhero Energy Beams,Superhero Magic,Superhero Hyperkinesis,Superhero Jump,Superhero Clairvoyance,Superhero Dimensional Travel,Superhero Power Sense,Superhero Shapeshifting,Superhero Peak Human Condition,Superhero Immortality,Superhero Camouflage,Superhero Element Control,Superhero Phasing,Superhero Astral Projection,Superhero Electrical Transport,Superhero Fire Control,Superhero Projection,Superhero Summoning,Superhero Enhanced Memory,Superhero Reflexes,Superhero Invulnerability,Superhero Energy Constructs,Superhero Force Fields,Superhero Self-Sustenance,Superhero Anti-Gravity,Superhero Empathy,Superhero Power Nullifier,Superhero Radiation Control,Superhero Psionic Powers,Superhero Elasticity,Superhero Substance Secretion,Superhero Elemental Transmogrification,Superhero Technopath/Cyberpath,Superhero Photographic Reflexes,Superhero Seismic Power,Superhero Animation,Superhero Precognition,Superhero Mind Control,Superhero Fire Resistance,Superhero Power Absorption,Superhero Enhanced Hearing,Superhero Nova Force,Superhero Insanity,Superhero Hypnokinesis,Superhero Animal Control,Superhero Natural Armor,Superhero Intangibility,Superhero Enhanced Sight,Superhero Molecular Manipulation,Superhero Heat Generation,Superhero Adaptation,Superhero Gliding,Superhero Power Suit,Superhero Mind Blast,Superhero Probability Manipulation,Superhero Gravity Control,Superhero Regeneration,Superhero Light Control,Superhero Echolocation,Superhero Levitation,Superhero Toxin And Disease Control,Superhero Banish,Superhero Energy Manipulation,Superhero Heat Resistance,Superhero Natural Weapons,Superhero Time Travel,Superhero Enhanced Smell,Superhero Illusions,Superhero Thirstokinesis,Superhero Hair Manipulation,Superhero Illumination,Superhero Omnipotent,Superhero Cloaking,Superhero Changing Armor,Superhero Power Cosmic,Superhero Biokinesis,Superhero Water Control,Superhero Radiation Immunity,Superhero Vision - Telescopic,Superhero Toxin And Disease Resistance,Superhero Spatial Awareness,Superhero Energy Resistance,Superhero Telepathy Resistance,Superhero Molecular Combustion,Superhero Omnilingualism,Superhero Portal Creation,Superhero Magnetism,Superhero Mind Control Resistance,Superhero Plant Control,Superhero Sonar,Superhero Sonic Scream,Superhero Time Manipulation,Superhero Enhanced Touch,Superhero Magic Resistance,Superhero Invisibility,Superhero Sub-Mariner,Superhero Radiation Absorption,Superhero Intuitive Aptitude,Superhero Vision - Microscopic,Superhero Melting,Superhero Wind Control,Superhero Super Breath,Superhero Wallcrawling,Superhero Vision - Night,Superhero Vision - Infrared,Superhero Grim Reaping,Superhero Matter Absorption,Superhero The Force,Superhero Resurrection,Superhero Terrakinesis,Superhero Vision - Heat,Superhero Vitakinesis,Superhero Radar Sense,Superhero Qwardian Power Ring,Superhero Weather Control,Superhero Vision - X-Ray,Superhero Vision - Thermal,Superhero Web Creation,Superhero Reality Warping,Superhero Odin Force,Superhero Symbiote Costume,Superhero Speed Force,Superhero Phoenix Force,Superhero Molecular Dissipation,Superhero Vision - Cryo,Superhero Omnipresent,Superhero Omniscient,Superhero First Appearance Date,Id Track of Most Popular Song On Day of First Appearance,Name of Most Popular Song On Day of First Appearance,Popularity of Most Popular Song On Day of First Appearance,Duration Ms of Most Popular Song On Day of First Appearance,Explicit of Most Popular Song On Day of First Appearance,Artists of Most Popular Song On Day of First Appearance,Id Artists of Most Popular Song On Day of First Appearance,Release Date of Most Popular Song On Day of First Appearance,Release Year of Most Popular Song On Day of First Appearance,Danceability of Most Popular Song On Day of First Appearance,Energy of Most Popular Song On Day of First Appearance,Key of Most Popular Song On Day of First Appearance,Loudness of Most Popular Song On Day of First Appearance,Mode of Most Popular Song On Day of First Appearance,Speechiness of Most Popular Song On Day of First Appearance,Acousticness of Most Popular Song On Day of First Appearance,Instrumentalness of Most Popular Song On Day of First Appearance,Liveness of Most Popular Song On Day of First Appearance,Valence of Most Popular Song On Day of First Appearance,Tempo of Most Popular Song On Day of First Appearance,Time Signature of Most Popular Song On Day of First Appearance
Carnage,Cletus Kasady,-,"Amazing Spider-Man #344 (February, 1991)",Male,green,Symbiote,Red,6.069553805774278,185.0,190.0,86.0,Marvel Comics,-,New York City,-,bad,85.0,65.0,70.0,85.0,90.0,90.0,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,1991-02-28,6noSuYjYAXxM91DEaTAaFy,Miracle of Love,59.0,275000.0,0.0,"['Eurythmics', 'Annie Lennox', 'Dave Stewart']","['0NKDgy9j66h3DLnN8qu1bB', '5MspMQqdVbdwP6ax3GXqum', '7gcCQIlkkfbul5Mt0jBQkg']",1991-02-28,1991.0,0.528,0.469,2.0,-12.552,1.0,0.026,0.297,1.79e-06,0.361,0.317,106.386,4.0
Cat,Shirlee Bryant,"Chicago, Illinois",The Cat #1,Female,blue,-,Blond,5.675853018372703,173.0,135.0,61.0,Marvel Comics,Model,"Chicago, Illinois",-,good,90.0,85.0,80.0,90.0,85.0,80.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1972-11-30,4DhbiXEuV7JxSR0wuqetTa,Free Ride,61.0,187173.0,0.0,['The Edgar Winter Group'],['7j9PMegEgVN1fNp8NZXNCI'],1972-11-30,1972.0,0.674,0.686,2.0,-11.927,1.0,0.0597,0.29,0.00322,0.189,0.814,124.204,4.0
Catwoman,Selina Kyle,Gotham City,Detective Comics #569,Female,green,Human,Black,5.741469816272966,175.0,135.0,61.0,DC Comics,Thief,Gotham City,-,good,85.0,15.0,35.0,30.0,30.0,85.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1940-04-30,,,,,,,,,,,,,,,,,,,,,
Century,-,-,"Force Works #1 (July, 1994)",Male,white,Alien,White,6.594488188976378,201.0,215.0,97.0,Marvel Comics,"Tracker, adventurer",-,grey,good,95.0,80.0,55.0,65.0,100.0,100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1994-07-01,1OFKUn2VLafrHj7ybnap0Q,Only Wanna Be with You,70.0,229587.0,0.0,['Hootie & The Blowfish'],['08ct2eZF5lUPdJpHwNKWof'],1994-07-01,1994.0,0.49,0.873,6.0,-5.861,1.0,0.0355,0.107,5.19e-06,0.118,0.513,103.272,4.0
Cerebra,Shakti Haddad,-,"X-Men 2099 #1 (October, 1993)",Female,-,Mutant,-,,,,,Marvel Comics,-,-,-,good,85.0,70.0,70.0,80.0,80.0,90.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1993-01-01,5DiXcVovI0FcY2s0icWWUu,Mr. Jones,78.0,272293.0,0.0,['Counting Crows'],['0vEsuISMWAKNctLlUAhSZC'],1993-01-01,1993.0,0.578,0.817,0.0,-6.542,1.0,0.0363,0.183,3.06e-06,0.285,0.726,141.621,4.0
Chamber,Jonothon Evan Starsmore,United Kingdom,"Generation X #1 (November, 1994)",Male,brown,Mutant,Brown,5.741469816272966,175.0,140.0,63.0,Marvel Comics,Adventurer,"Utopia; formerly New Warriors HQ; Xavier Institute for Higher Learning, Salem Center, Westchester County, New York; Massachusetts Academy, Snow Valley, Massachusetts",-,good,80.0,10.0,20.0,80.0,60.0,65.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1994-01-01,6Pur3hWy6Nzc27ilmsp5HA,Lamento Boliviano,77.0,222227.0,0.0,['Los Enanitos Verdes'],['4TK1gDgb7QKoPFlzRrBRgR'],1994-01-01,1994.0,0.714,0.735,4.0,-7.125,0.0,0.0306,0.176,0.000622,0.115,0.68,123.57,4.0
Chameleon,Dmitri Anatoly Nikolayevich Smerdyakov,Russia,Amazing Spider-Man #1,Male,-,-,-,,,,,DC Comics,-,-,-,bad,95.0,10.0,20.0,30.0,50.0,30.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1977-09-01,1JkZg3eMQTmTn93E8Yd3UL,I Want You to Want Me,72.0,191227.0,0.0,['Cheap Trick'],['1LB8qB5BPb3MHQrfkvifXU'],1977-09-01,1977.0,0.806,0.462,2.0,-12.778,1.0,0.0298,0.78,0.0134,0.15,0.736,92.726,4.0
Changeling,Kevin Sidney,-,"Uncanny X-Men #35 (August, 1967)",Male,brown,-,Black,5.905511811023622,180.0,180.0,81.0,Marvel Comics,"Former substitute teacher, adventurer, subversive",-,-,bad,85.0,10.0,25.0,45.0,65.0,65.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1967-08-01,4feXcsElKIVsGwkbnTHAfV,Somethin' Stupid,72.0,162493.0,0.0,"['Frank Sinatra', 'Nancy Sinatra']","['1Mxqyy3pSjf8kZZL4QVxS0', '3IZrrNonYELubLPJmqOci2']",1967-08-01,1967.0,0.257,0.338,4.0,-12.902,1.0,0.0357,0.736,0.0,0.252,0.544,207.356,4.0
Cheetah,Priscilla Rich,-,Wonder Woman Vol1 #6 (Fall 1943),Female,green,Human,Blond,5.347769028871391,163.0,110.0,50.0,DC Comics,-,-,-,bad,75.0,10.0,45.0,20.0,35.0,70.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1943-09-30,,,,,,,,,,,,,,,,,,,,,
Cheetah II,Deborah Domaine,-,Wonder Woman Vol1 #274 (Dec 1980),Female,green,Human,Brown,5.57742782152231,170.0,122.0,55.0,DC Comics,-,"Chesapeake Bay, Maryland",-,bad,75.0,20.0,45.0,20.0,40.0,60.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1977-01-31,,,,,,,,,,,,,,,,,,,,,
Cheetah III,Barbara Ann Minerva,-,Wonder Woman Vol2 #7 (Sept 1987),Female,brown,Human,Brown,5.741469816272966,175.0,120.0,54.0,DC Comics,"Archaeologist, Anthropologist","Nottingham, England",-,bad,95.0,100.0,90.0,80.0,80.0,95.0,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1977-01-31,,,,,,,,,,,,,,,,,,,,,
Citizen Steel,Nathaniel Heywood,-,"Justice Society of America Vol 3 #2 (March, 2007)",Male,green,Human,Red,6.003937007874016,183.0,378.0,170.0,DC Comics,"Adventurer, former Professional Football Player","Battery Park, New York City, formerly Franklin County, Ohio",-,good,80.0,95.0,35.0,100.0,25.0,60.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2007-01-01,2bLqfJjuC5syrsgDsZfGmn,The Way I Are,78.0,179120.0,0.0,"['Timbaland', 'Keri Hilson', 'D.O.E.']","['5Y5TRrQiqgUO4S36tzjIRZ', '63wjoROpeh5f11Qm93UiJ1', '4TLCPR1sMYoNU1jA7O4uww']",2007-01-01,2007.0,0.731,0.807,3.0,-6.492,0.0,0.1,0.181,0.751,0.319,0.765,114.759,4.0
Cloak,Tyrone Johnson,"South Boston, Massachusetts",Spectacular Spiderman #64,Male,brown,-,black,7.414698162729659,226.0,155.0,70.0,Marvel Comics,Vigilante,"Holy Ghost Church, 42nd Street, New York City",-,good,85.0,10.0,50.0,65.0,100.0,60.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1982-03-01,5YPIX0GlnaAxaJBFJydMT4,Looking Up to You,49.0,320280.0,0.0,['Michael Wycoff'],['03WrOkxi8Ktm2tBYI1Z7vV'],1982-03-01,1982.0,0.689,0.604,7.0,-9.01,0.0,0.0351,0.0136,3.84e-05,0.13,0.72,104.383,4.0
Colossus,Piotr Nikolaievitch Rasputin,"Ust-Ordynski Collective, near Lake Baikal, Siberia, Russia","Giant-Size X-Men #1 (May, 1975)",Male,silver,Mutant,Black,7.414698162729659,226.0,500.0,225.0,Marvel Comics,"(current) Adventurer, student, (former) Artist","(current) Professor Charles Xavier's Institute for Higher Learning, Salem Center, Westchester County, New York (former) Muir Isle, Scotland,; a loft in Soho, Manhattan, Ust-Ordynski Collective, Lake Baikal, Siberia, U.S.S.R., X-Men Headquarters in Austra",-,good,85.0,85.0,35.0,100.0,45.0,80.0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1975-05-31,1Po5iN2p2F5AmANlttPnhf,Doğum Günün Kutlu Olsun,18.0,212107.0,0.0,['Semiramis Pekkan'],['5vuQpKX1QG7WlQ40C27HfD'],1975-05-31,1975.0,0.249,0.453,7.0,-10.349,0.0,0.0541,0.461,0.0,0.28,0.315,171.119,3.0
Copycat,Vanessa Carlysle,-,"New Mutants #98 (February, 1991)",Female,red,Mutant,White,6.003937007874016,183.0,148.0,67.0,Marvel Comics,-,"Mobile; formerly Adirondack Mountains, Xavier's School for Gifted Youngsters",blue,neutral,80.0,10.0,25.0,25.0,55.0,60.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1991-01-01,17S4XrLvF5jlGvGCJHgF51,Learning To Fly,73.0,242107.0,0.0,['Tom Petty and the Heartbreakers'],['4tX2TplrkIP4v05BNC903e'],1991-01-01,1991.0,0.651,0.766,0.0,-9.935,1.0,0.0299,0.206,0.00103,0.362,0.949,116.74,4.0
Cottonmouth,Burchell Clemens,-,"Captain America #310 (October, 1985)",Male,brown,Human,Black,6.003937007874016,183.0,220.0,99.0,Marvel Comics,Professional criminal,Serpent Citadel,-,bad,80.0,10.0,10.0,10.0,30.0,25.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2009-02-01,4Ddac1auZ5h2lsQkthGvQP,Sueño de una noche de verano,47.0,272904.0,0.0,['Delahoja'],['2s3jSd8TjkysTUu1kKdM5V'],2009-02-01,2009.0,0.904,0.692,0.0,-6.268,1.0,0.544,0.18,0.0,0.55,0.845,91.518,4.0
Crimson Crusader,Rory Destine,"Ravenscroft, England",ClanDestine #1 (1994),Male,blue,-,Strawberry Blond,,,,,Marvel Comics,-,-,-,good,60.0,60.0,40.0,65.0,85.0,65.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1994-01-01,6Pur3hWy6Nzc27ilmsp5HA,Lamento Boliviano,77.0,222227.0,0.0,['Los Enanitos Verdes'],['4TK1gDgb7QKoPFlzRrBRgR'],1994-01-01,1994.0,0.714,0.735,4.0,-7.125,0.0,0.0306,0.176,0.000622,0.115,0.68,123.57,4.0
Crimson Dynamo,Anton Vanko,-,Tales of Suspense #46 (Oct 1963),Male,brown,-,No Hair,5.905511811023622,180.0,230.0,104.0,Marvel Comics,Scientist,"Stark Industries plant, Long Island, New York",-,good,85.0,70.0,60.0,75.0,80.0,65.0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1978-04-01,2ccUQnjjNWT0rsNnsBpsCA,Surrender,70.0,253733.0,0.0,['Cheap Trick'],['1LB8qB5BPb3MHQrfkvifXU'],1978-04-01,1978.0,0.524,0.955,0.0,-7.081,1.0,0.0411,0.00717,8.77e-06,0.659,0.869,133.849,4.0
Crystal,Crystallia Amaquelin Maximoff,Attilan,Fantastic Four #45 (1965),Female,green,Inhuman,Red,5.511811023622047,168.0,110.0,50.0,Marvel Comics,"Mother, adventuress",-,-,good,85.0,20.0,15.0,15.0,65.0,60.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1965-12-01,1PVTvvxpSkyJWemW1CwVVk,Fly Me To The Moon,52.0,148867.0,0.0,['Frank Sinatra'],['1Mxqyy3pSjf8kZZL4QVxS0'],1965-12-01,1965.0,0.623,0.274,5.0,-14.929,1.0,0.07,0.343,3.16e-06,0.0404,0.427,118.052,4.0
